l,D_l_LCDM,D_l_LPEG,delta_D_l,modulation_function,relative_change
85,475284.60611469386,481598.44398260984,6313.83786791598,1.0132843306656398,1.3284330665639839
86,461618.8007571584,458423.4954667397,-3195.305290418677,0.9930780434306885,-0.6921956569311432
87,448499.72738129215,448384.85338929656,-114.87399199558422,0.9997438705422046,-0.025612945779546495
88,435899.4417042825,438959.71790304483,3060.2761987623526,1.0070206013267584,0.7020601326758449
89,423790.144104638,418562.90329413605,-5227.240810501971,0.9876654969842543,-1.2334503015745721
90,412150.1920482224,418535.9306686418,6385.7386204194045,1.0154937174448102,1.5493717444810169
91,400955.69867139065,394462.7077274941,-6492.990943896526,0.9838062135906491,-1.6193786409350812
92,390184.3005579128,395851.7594601201,5667.45890220732,1.0145250818500477,1.452508185004776
93,379816.22389164654,375672.6834807555,-4143.540410891059,0.9890906703025063,-1.0909329697493708
94,369833.4461278155,372051.3722977885,2217.926169972983,1.0059970946197399,0.5997094619739884
95,360216.2904540683,360018.89680885605,-197.39364521222888,0.999452013552848,-0.054798644715208636
96,350946.767576108,349302.13505374757,-1644.6325223604217,0.9953137265411519,-0.4686273458848026
97,342012.7198178896,345111.3792848344,3098.6594669447513,1.009060070831853,0.9060070831852933
98,333396.03630785045,329360.86549402087,-4035.17081382958,0.987896764285153,-1.2103235714846932
99,325083.9967574849,329491.24664048327,4407.249882998352,1.013557264974462,1.355726497446195
100,317060.32740327966,312818.2305958199,-4242.096807459777,0.9866205373526152,-1.3379462647384803
101,309314.8845143164,312940.0671912217,3625.1826769053005,1.0117200395402812,1.1720039540281197
102,301835.1583950522,299154.9524113485,-2680.205983703665,0.9911202989142976,-0.8879701085702281
103,294608.5293332717,296157.06035031815,1548.5310170464218,1.005256232806806,0.5256232806806038
104,287625.7074737889,287255.1640579069,-370.5434158819844,0.9987117166294471,-0.12882833705528626
105,280875.33484638995,280145.9811758064,-729.3536705835722,0.9974032833072278,-0.2596716692772094
106,274347.4661077477,276000.51868186885,1653.0525741211604,1.0060253976374323,0.6025397637432298
107,268033.1610018511,265698.8601008563,-2334.3009009948,0.9912909996200856,-0.870900037991448
108,261923.70338187332,264663.5679162488,2739.8645343754906,1.0104605444219033,1.0460544421903228
109,256012.3089073326,253145.1778726558,-2867.1310346768005,0.9888008078716457,-1.119919212835427
110,250287.43879180338,253026.49268063233,2739.0538888289593,1.0109436330566608,1.0943633056660853
111,244745.1297048301,242347.33923358112,-2397.790471248969,0.9902029083310431,-0.9797091668956908
