x,y,tau,rho_tau,lambda_plasma,I_magnitude,I_phase
0.8975979010256552,0.1282282715750936,1.9020673509440176,0.02291946350235708,54549933592393.49,1.0052342631212832,1.9018446695278453
1.0258261726007487,0.1282282715750936,1.813854801354391,0.03346980337098383,60163410492200.73,1.0194590295237953,1.813516063719022
1.1540544441758422,0.1282282715750936,1.6677066012657578,0.04876053875947995,65266838279130.97,1.0300802847287984,1.6671947544213375
1.2822827157509358,0.1282282715750936,1.473136673301131,0.06488085281748798,69356682443708.62,1.0369236280194682,1.4724516585565708
1.4105109873260295,0.1282282715750936,1.2428053819671059,0.0777005173283381,71923278143085.23,1.0398766918881654,1.2420249753696426
1.538739258901123,0.1282282715750936,0.9917284868345638,0.08391363854478856,72576227063169.03,1.0388909871078076,0.990986977326735
1.6669675304762166,0.1282282715750936,0.736333633903272,0.08189581252917216,71167305965937.38,1.0339826989236378,0.7357581286446498
1.7951958020513104,0.1282282715750936,0.4933861163032045,0.0721528073547003,67847933553303.984,1.0252324212919426,0.49303301822846374
1.9234240736264039,0.1282282715750936,0.27884844195088365,0.05720767058814004,63025751070367.36,1.01278383352952,0.2786883620382336
2.0516523452014974,0.1282282715750936,0.10678800443430651,0.04093419658299963,57243491908811.84,0.9968413411032696,0.1067445027490661
2.179880616776591,0.1282282715750936,-0.011554773115578242,0.02753341114404761,51043076199920.88,0.9776667192980759,-0.011551664703738473
2.3081088883516845,0.1282282715750936,-0.06847573823282863,0.020448159032677594,44869594752835.59,0.9555748148738694,-0.06846235560317637
2.436337159926778,0.1282282715750936,-0.060276926844203355,0.021492862872558183,39032875272887.8,0.9309283762905316,-0.06026502606842855
2.5645654315018716,0.1282282715750936,0.012507404278935673,0.030398937542675347,33713703398284.395,0.904132097388214,0.012504134330208916
2.6927937030769655,0.1282282715750936,0.14513693722759916,0.04487991247687341,28992070475495.383,0.8756259723256692,0.1450852748779918
2.821021974652059,0.1282282715750936,0.3289514743230855,0.06120720156127335,24879670378392.164,0.8458780708883293,0.32880622685480554
2.9492502462271526,0.1282282715750936,0.5519168798332301,0.07516562480963493,21347474855081.996,0.8153768527953714,0.5516497524666472
3.077478517802246,0.1282282715750936,0.7994129301747614,0.08314996262471323,18345699992242.14,0.784623147204629,0.799039595661515
3.2057067893773397,0.1282282715750936,1.05521342715099,0.08310656782400824,15816786605925.066,0.7541219291116709,1.0547939190305269
3.333935060952433,0.1282282715750936,1.3025743720503906,0.0750593260226093,13703110960687.957,0.7243740276743311,1.3021837622253951
3.4621633325275267,0.1282282715750936,1.5253352742506465,0.06108770869214796,11951140433408.676,0.6958679026117862,1.5250272878372368
3.5903916041026207,0.1282282715750936,1.7089590254750318,0.04478267875603763,10513368516233.168,0.6690716237094684,1.7087482398140512
3.7186198756777142,0.1282282715750936,1.8414611051687961,0.030328823974609453,9348944167373.514,0.6444251851261308,1.841329380361834
3.8468481472528078,0.1282282715750936,1.9141846614536764,0.02143769543502402,8423570168227.234,0.6223332807019244,1.9140985407604718
3.9750764188279013,0.1282282715750936,1.9223712885673931,0.020395667759261025,7709003368710.529,0.6031586588967307,1.92229587029522
4.103304690402995,0.1282282715750936,1.8654797865589545,0.02747286193398075,7182335623916.68,0.5872161664704801,1.8653851793957825
4.231532961978089,0.1282282715750936,1.7472241204712895,0.04085170526496733,6825157518819.493,0.5747675787080573,1.7470890119429776
4.359761233553182,0.1282282715750936,1.575328442676311,0.057094651182955855,6622704164315.519,0.5660173010763623,1.575145152653811
4.487989505128276,0.1282282715750936,1.361020900795024,0.07202724418630915,6563139853817.218,0.5611090128921925,1.3608004964635803
4.616217776703369,0.1282282715750936,1.118303892328647,0.0818084860533727,6637199026732.37,0.560123308111835,1.1180753860473953
4.744446048278463,0.1282282715750936,0.8630467837072178,0.0839175717020984,6838357869765.516,0.563076371980532,0.8628465373653094
4.872674319853556,0.1282282715750936,0.6119531219254571,0.07780671809591565,7163495152801.985,0.5699197152712013,0.6118085393224025
5.00090259142865,0.1282282715750936,0.3814640241350354,0.0650483600426628,7613719974974.116,0.5805409704762052,0.3813818561354738
5.129130863003743,0.1282282715750936,0.18667169389850322,0.04893156192428113,8194948537441.862,0.5947657368787168,0.18663876027070747
5.257359134578837,0.1282282715750936,0.04032281531400604,0.0336103752835109,8918016497653.121,0.6123604442076729,0.040317450973022195
5.385587406153931,0.1282282715750936,-0.0480160361493887,0.02302968851594608,9798431271272.781,0.6330361878551634,-0.048011154835801755
5.513815677729024,0.1282282715750936,-0.07257652586752665,0.019910581892310784,10856032710841.629,0.6564534726821082,-0.07256945885466613
